sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,remSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro,sleepTotalTimeStampGMT
2022-09-28 04:26:00,2022-09-28 11:56:00,2022-09-28,ENHANCED_CONFIRMED,3600.0,18060.0,5160.0,180.0,0.0,False,07:30:00
2022-09-29 06:39:00,2022-09-29 12:54:00,2022-09-29,ENHANCED_CONFIRMED,4680.0,12660.0,5160.0,0.0,0.0,False,06:15:00
2022-09-30 05:08:00,2022-09-30 12:02:00,2022-09-30,ENHANCED_CONFIRMED,6540.0,12600.0,5640.0,60.0,0.0,False,06:54:00
2022-10-01 03:26:00,2022-10-01 11:53:00,2022-10-01,ENHANCED_CONFIRMED,960.0,21180.0,7680.0,600.0,0.0,False,08:27:00
2022-10-02 05:21:00,2022-10-02 14:31:00,2022-10-02,ENHANCED_CONFIRMED,4320.0,17100.0,11160.0,420.0,0.0,False,09:10:00
2022-10-03 04:07:00,2022-10-03 12:36:00,2022-10-03,ENHANCED_CONFIRMED,2040.0,17940.0,10020.0,540.0,0.0,False,08:29:00
2022-10-04 05:41:00,2022-10-04 12:30:00,2022-10-04,ENHANCED_CONFIRMED,5040.0,15660.0,3540.0,300.0,0.0,False,06:49:00
2022-10-05 04:36:00,2022-10-05 13:12:00,2022-10-05,ENHANCED_CONFIRMED,4440.0,16800.0,9240.0,480.0,0.0,False,08:36:00
2022-10-06 06:53:00,2022-10-06 11:55:00,2022-10-06,ENHANCED_CONFIRMED,6600.0,6840.0,4620.0,60.0,0.0,False,05:02:00
2022-10-07 03:45:00,2022-10-07 11:55:00,2022-10-07,ENHANCED_CONFIRMED,1680.0,18960.0,8160.0,600.0,0.0,False,08:10:00
2022-10-08 07:37:00,2022-10-08 15:19:00,2022-10-08,ENHANCED_CONFIRMED,4860.0,14340.0,8400.0,120.0,0.0,False,07:42:00
2022-10-09 06:27:00,2022-10-09 12:16:00,2022-10-09,ENHANCED_CONFIRMED,3180.0,10140.0,7500.0,120.0,0.0,False,05:49:00
2022-10-10 06:09:00,2022-10-10 13:13:00,2022-10-10,ENHANCED_CONFIRMED,2580.0,18180.0,4680.0,0.0,0.0,False,07:04:00
2022-10-11 04:10:00,2022-10-11 11:10:00,2022-10-11,ENHANCED_CONFIRMED,6360.0,13260.0,5460.0,120.0,0.0,False,07:00:00
2022-10-12 05:10:00,2022-10-12 12:23:00,2022-10-12,ENHANCED_CONFIRMED,7320.0,12180.0,5880.0,600.0,0.0,False,07:13:00
2022-10-13 05:44:00,2022-10-13 13:07:00,2022-10-13,ENHANCED_CONFIRMED,3720.0,15480.0,7200.0,180.0,0.0,False,07:23:00
2022-10-14 06:03:00,2022-10-14 11:54:00,2022-10-14,ENHANCED_CONFIRMED,5040.0,9780.0,6120.0,120.0,0.0,False,05:51:00
2022-10-15 08:09:00,2022-10-15 12:45:00,2022-10-15,ENHANCED_CONFIRMED,6300.0,8100.0,2160.0,0.0,0.0,False,04:36:00
2022-10-16 04:58:00,2022-10-16 14:45:00,2022-10-16,ENHANCED_CONFIRMED,5580.0,19920.0,9360.0,360.0,0.0,False,09:47:00
2022-10-17 05:42:00,2022-10-17 12:35:00,2022-10-17,ENHANCED_CONFIRMED,4740.0,13140.0,6540.0,360.0,0.0,False,06:53:00
2022-10-18 05:44:00,2022-10-18 12:11:00,2022-10-18,ENHANCED_CONFIRMED,5100.0,11520.0,6540.0,60.0,0.0,False,06:27:00
2022-10-19 05:12:00,2022-10-19 12:15:00,2022-10-19,ENHANCED_CONFIRMED,7260.0,11340.0,6780.0,0.0,0.0,False,07:03:00
2022-10-20 05:15:00,2022-10-20 11:58:00,2022-10-20,ENHANCED_CONFIRMED,2940.0,12660.0,8520.0,60.0,0.0,False,06:43:00
2022-10-21 06:26:00,2022-10-21 11:58:00,2022-10-21,ENHANCED_CONFIRMED,7200.0,8220.0,4500.0,0.0,0.0,False,05:32:00
2022-10-22 05:23:00,2022-10-22 12:00:00,2022-10-22,ENHANCED_CONFIRMED,4320.0,12480.0,6960.0,60.0,0.0,False,06:37:00
2022-10-23 06:40:00,2022-10-23 13:06:00,2022-10-23,ENHANCED_CONFIRMED,3660.0,13680.0,5820.0,0.0,0.0,False,06:26:00
2022-10-24 05:17:00,2022-10-24 12:49:00,2022-10-24,ENHANCED_CONFIRMED,4800.0,13560.0,8760.0,0.0,0.0,False,07:32:00
2022-10-25 05:59:00,2022-10-25 12:16:00,2022-10-25,ENHANCED_CONFIRMED,4320.0,11040.0,7080.0,180.0,0.0,False,06:17:00
2022-10-26 05:44:00,2022-10-26 12:50:00,2022-10-26,ENHANCED_CONFIRMED,2340.0,15360.0,7740.0,120.0,0.0,False,07:06:00
2022-10-27 05:52:00,2022-10-27 12:59:00,2022-10-27,ENHANCED_CONFIRMED,5280.0,14340.0,5400.0,600.0,0.0,False,07:07:00
2022-10-28 06:46:00,2022-10-28 12:02:00,2022-10-28,ENHANCED_CONFIRMED,4500.0,8700.0,5760.0,0.0,0.0,False,05:16:00
2022-10-29 05:29:00,2022-10-29 15:40:00,2022-10-29,ENHANCED_CONFIRMED,5040.0,23340.0,7500.0,780.0,0.0,False,10:11:00
2022-10-30 03:37:00,2022-10-30 14:38:00,2022-10-30,ENHANCED_CONFIRMED,6060.0,21780.0,10920.0,900.0,0.0,False,11:01:00
2022-10-31 04:12:00,2022-10-31 12:56:00,2022-10-31,ENHANCED_CONFIRMED,1920.0,21900.0,7500.0,120.0,0.0,False,08:44:00
2022-11-01 05:06:00,2022-11-01 12:17:00,2022-11-01,ENHANCED_CONFIRMED,5520.0,15660.0,4500.0,180.0,0.0,False,07:11:00
2022-11-02 03:52:00,2022-11-02 13:16:00,2022-11-02,ENHANCED_CONFIRMED,4200.0,20640.0,8880.0,120.0,0.0,False,09:24:00
