sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,remSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro
2022-12-11T06:34:00.0,2022-12-11T11:51:00.0,2022-12-11,ENHANCED_CONFIRMED,4080.0,10320.0,3960.0,660.0,0.0,False
2022-12-12T05:30:00.0,2022-12-12T12:36:00.0,2022-12-12,ENHANCED_CONFIRMED,4860.0,12960.0,7680.0,60.0,0.0,False
2022-12-13T06:12:00.0,2022-12-13T13:29:00.0,2022-12-13,ENHANCED_CONFIRMED,3600.0,12660.0,9960.0,0.0,0.0,False
2022-12-14T07:48:00.0,2022-12-14T11:18:00.0,2022-12-14,ENHANCED_CONFIRMED_FINAL,6780.0,3720.0,2040.0,60.0,0.0,False
2022-12-15T04:31:00.0,2022-12-15T13:55:00.0,2022-12-15,ENHANCED_CONFIRMED,6000.0,18480.0,8700.0,660.0,0.0,False
2022-12-16T06:17:00.0,2022-12-16T14:06:00.0,2022-12-16,ENHANCED_CONFIRMED,4920.0,13980.0,8760.0,480.0,0.0,False
2022-12-17T04:22:00.0,2022-12-17T13:18:00.0,2022-12-17,ENHANCED_CONFIRMED_FINAL,4740.0,18120.0,8940.0,360.0,0.0,False
2022-12-18T04:39:00.0,2022-12-18T14:31:00.0,2022-12-18,ENHANCED_CONFIRMED,3420.0,21060.0,10680.0,360.0,0.0,False
2022-12-19T05:51:00.0,2022-12-19T14:40:00.0,2022-12-19,ENHANCED_CONFIRMED,4260.0,18300.0,9180.0,0.0,0.0,False
2022-12-20T07:27:00.0,2022-12-20T13:53:00.0,2022-12-20,ENHANCED_CONFIRMED_FINAL,6720.0,12240.0,4200.0,0.0,0.0,False
2022-12-21T05:53:00.0,2022-12-21T15:23:00.0,2022-12-21,ENHANCED_CONFIRMED_FINAL,3420.0,20520.0,8880.0,1380.0,0.0,False
2022-12-22T07:49:00.0,2022-12-22T15:38:00.0,2022-12-22,OFF_WRIST,0.0,0.0,,0.0,0.0,False
2022-12-23T05:36:00.0,2022-12-23T15:19:00.0,2022-12-23,ENHANCED_CONFIRMED,4500.0,21060.0,9360.0,60.0,0.0,False
2022-12-24T07:43:00.0,2022-12-24T14:44:00.0,2022-12-24,ENHANCED_CONFIRMED_FINAL,4500.0,12540.0,7800.0,420.0,0.0,False
2022-12-25T05:24:00.0,2022-12-25T13:50:00.0,2022-12-25,ENHANCED_CONFIRMED_FINAL,720.0,17460.0,11640.0,540.0,0.0,False
2022-12-26T06:43:00.0,2022-12-26T13:24:00.0,2022-12-26,ENHANCED_CONFIRMED,4620.0,12480.0,6960.0,0.0,0.0,False
2022-12-27T05:43:00.0,2022-12-27T14:17:00.0,2022-12-27,ENHANCED_CONFIRMED_FINAL,4260.0,17520.0,8460.0,600.0,0.0,False
2022-12-28T05:02:00.0,2022-12-28T15:06:00.0,2022-12-28,ENHANCED_CONFIRMED_FINAL,3600.0,24600.0,7920.0,120.0,0.0,False
2022-12-29T05:40:00.0,2022-12-29T14:13:00.0,2022-12-29,ENHANCED_CONFIRMED,3060.0,19500.0,7560.0,660.0,0.0,False
2022-12-30T05:19:00.0,2022-12-30T13:11:00.0,2022-12-30,ENHANCED_CONFIRMED_FINAL,4440.0,17760.0,5760.0,360.0,0.0,False
2022-12-31T07:16:00.0,2022-12-31T14:15:00.0,2022-12-31,ENHANCED_CONFIRMED_FINAL,6240.0,11220.0,6780.0,900.0,0.0,False
2023-01-01T08:25:00.0,2023-01-01T14:11:00.0,2023-01-01,ENHANCED_CONFIRMED_FINAL,8580.0,8400.0,3480.0,300.0,0.0,False
2023-01-02T05:31:00.0,2023-01-02T15:00:00.0,2023-01-02,ENHANCED_CONFIRMED_FINAL,7020.0,16740.0,10260.0,120.0,0.0,False
2023-01-03T06:07:00.0,2023-01-03T13:10:00.0,2023-01-03,ENHANCED_CONFIRMED_FINAL,4920.0,15900.0,4320.0,240.0,0.0,False
2023-01-04T06:58:00.0,2023-01-04T16:00:00.0,2023-01-04,ENHANCED_CONFIRMED,3180.0,17760.0,11460.0,120.0,0.0,False
2023-01-05T06:29:00.0,2023-01-05T15:35:00.0,2023-01-05,ENHANCED_CONFIRMED,6240.0,18180.0,7500.0,840.0,0.0,False
2023-01-06T06:34:00.0,2023-01-06T14:12:00.0,2023-01-06,ENHANCED_CONFIRMED_FINAL,4380.0,17580.0,5280.0,240.0,0.0,False
2023-01-07T08:32:00.0,2023-01-07T17:06:00.0,2023-01-07,ENHANCED_CONFIRMED,2700.0,20580.0,7020.0,540.0,0.0,False
2023-01-08T04:47:00.0,2023-01-08T13:20:00.0,2023-01-08,ENHANCED_CONFIRMED,1860.0,20220.0,7260.0,1440.0,0.0,False
2023-01-09T06:00:00.0,2023-01-09T14:28:00.0,2023-01-09,ENHANCED_CONFIRMED_FINAL,3180.0,19860.0,7260.0,180.0,0.0,False
2023-01-10T06:02:00.0,2023-01-10T14:26:00.0,2023-01-10,ENHANCED_CONFIRMED,4800.0,17100.0,7500.0,180.0,660.0,False
2023-01-11T06:56:00.0,2023-01-11T12:40:00.0,2023-01-11,ENHANCED_CONFIRMED_FINAL,2400.0,12180.0,5940.0,120.0,0.0,False
2023-01-12T05:07:00.0,2023-01-12T14:21:00.0,2023-01-12,ENHANCED_CONFIRMED_FINAL,4680.0,18480.0,9120.0,960.0,0.0,False
2023-01-13T08:43:00.0,2023-01-13T15:03:00.0,2023-01-13,ENHANCED_CONFIRMED_FINAL,3900.0,13920.0,4740.0,240.0,0.0,False
2023-01-14T05:30:00.0,2023-01-14T13:45:00.0,2023-01-14,ENHANCED_CONFIRMED,3240.0,17040.0,9300.0,120.0,0.0,False
2023-01-15T05:43:00.0,2023-01-15T14:25:00.0,2023-01-15,ENHANCED_CONFIRMED_FINAL,1560.0,19140.0,10140.0,480.0,0.0,False
2023-01-16T06:10:00.0,2023-01-16T14:28:00.0,2023-01-16,ENHANCED_CONFIRMED_FINAL,780.0,19980.0,8820.0,300.0,0.0,False
2023-01-17T07:02:00.0,2023-01-17T12:46:00.0,2023-01-17,ENHANCED_CONFIRMED_FINAL,1380.0,12420.0,6660.0,180.0,0.0,False
2023-01-18T06:11:00.0,2023-01-18T15:42:00.0,2023-01-18,ENHANCED_CONFIRMED_FINAL,5580.0,18660.0,9780.0,240.0,0.0,False
2023-01-19T07:33:00.0,2023-01-19T15:12:00.0,2023-01-19,ENHANCED_CONFIRMED_FINAL,3840.0,18120.0,5100.0,480.0,0.0,False
2023-01-20T05:27:00.0,2023-01-20T13:16:00.0,2023-01-20,OFF_WRIST,0.0,0.0,,0.0,0.0,False
2023-01-21T05:40:00.0,2023-01-21T12:44:00.0,2023-01-21,ENHANCED_CONFIRMED_FINAL,2100.0,13980.0,9240.0,120.0,0.0,False
2023-01-22T06:11:00.0,2023-01-22T15:56:00.0,2023-01-22,ENHANCED_CONFIRMED,7440.0,20040.0,6660.0,960.0,0.0,False
2023-01-23T07:29:00.0,2023-01-23T14:03:00.0,2023-01-23,ENHANCED_CONFIRMED_FINAL,4920.0,12300.0,6180.0,240.0,0.0,False
2023-01-24T05:08:00.0,2023-01-24T14:42:00.0,2023-01-24,ENHANCED_CONFIRMED_FINAL,7380.0,16860.0,8220.0,1980.0,0.0,False
2023-01-25T07:43:00.0,2023-01-25T13:35:00.0,2023-01-25,ENHANCED_CONFIRMED_FINAL,3360.0,10980.0,6480.0,300.0,0.0,False
2023-01-26T06:01:00.0,2023-01-26T14:00:00.0,2023-01-26,ENHANCED_CONFIRMED_FINAL,4680.0,14340.0,9660.0,60.0,0.0,False
2023-01-27T06:20:00.0,2023-01-27T13:01:00.0,2023-01-27,ENHANCED_CONFIRMED_FINAL,3060.0,15420.0,5580.0,0.0,0.0,False
2023-01-28T07:01:00.0,2023-01-28T13:27:00.0,2023-01-28,ENHANCED_CONFIRMED,5520.0,10620.0,6900.0,120.0,0.0,False
2023-01-29T05:37:00.0,2023-01-29T15:49:00.0,2023-01-29,ENHANCED_CONFIRMED_FINAL,5580.0,19680.0,11400.0,60.0,0.0,False
2023-01-30T06:16:00.0,2023-01-30T13:27:00.0,2023-01-30,ENHANCED_CONFIRMED_FINAL,5040.0,15420.0,5280.0,120.0,0.0,False
2023-01-31T06:00:00.0,2023-01-31T13:12:00.0,2023-01-31,ENHANCED_CONFIRMED_FINAL,4380.0,14580.0,6960.0,0.0,0.0,False
2023-02-01T06:27:00.0,2023-02-01T13:49:00.0,2023-02-01,ENHANCED_CONFIRMED_FINAL,3180.0,17460.0,5880.0,0.0,0.0,False
2023-02-02T07:44:00.0,2023-02-02T13:17:00.0,2023-02-02,ENHANCED_CONFIRMED_FINAL,5280.0,9060.0,5460.0,180.0,0.0,False
2023-02-03T06:44:00.0,2023-02-03T12:53:00.0,2023-02-03,ENHANCED_CONFIRMED_FINAL,6660.0,10560.0,4920.0,0.0,0.0,False
2023-02-04T06:43:00.0,2023-02-04T15:41:00.0,2023-02-04,ENHANCED_CONFIRMED,7080.0,16680.0,7920.0,600.0,0.0,False
2023-02-05T08:49:00.0,2023-02-05T14:10:00.0,2023-02-05,ENHANCED_CONFIRMED_FINAL,5040.0,8400.0,3900.0,0.0,1920.0,False
2023-02-06T05:31:00.0,2023-02-06T14:15:00.0,2023-02-06,ENHANCED_CONFIRMED,2820.0,20040.0,8520.0,60.0,0.0,False
2023-02-07T08:18:00.0,2023-02-07T15:46:00.0,2023-02-07,ENHANCED_CONFIRMED_FINAL,4860.0,15420.0,6300.0,300.0,0.0,False
2023-02-08T06:16:00.0,2023-02-08T14:25:00.0,2023-02-08,ENHANCED_CONFIRMED_FINAL,3300.0,16260.0,7860.0,1920.0,0.0,False
2023-02-09T08:07:00.0,2023-02-09T15:57:00.0,2023-02-09,ENHANCED_CONFIRMED_FINAL,5160.0,17460.0,5280.0,300.0,0.0,False
2023-02-10T06:24:00.0,2023-02-10T12:50:00.0,2023-02-10,ENHANCED_CONFIRMED_FINAL,2160.0,14880.0,4260.0,1860.0,0.0,False
2023-02-11T06:38:00.0,2023-02-11T13:11:00.0,2023-02-11,ENHANCED_CONFIRMED,3240.0,12480.0,7800.0,60.0,0.0,False
2023-02-12T06:44:00.0,2023-02-12T13:20:00.0,2023-02-12,ENHANCED_CONFIRMED,3660.0,13140.0,6960.0,0.0,0.0,False
2023-02-13T06:41:00.0,2023-02-13T14:15:00.0,2023-02-13,ENHANCED_CONFIRMED,5280.0,15060.0,6780.0,120.0,0.0,False
2023-02-14T06:13:00.0,2023-02-14T13:09:00.0,2023-02-14,ENHANCED_CONFIRMED_FINAL,6780.0,14700.0,3480.0,0.0,0.0,False
2023-02-15T06:21:00.0,2023-02-15T13:43:00.0,2023-02-15,ENHANCED_CONFIRMED_FINAL,5040.0,14400.0,7080.0,0.0,0.0,False
2023-02-16T07:17:00.0,2023-02-16T13:34:00.0,2023-02-16,ENHANCED_CONFIRMED,5220.0,12900.0,4440.0,60.0,0.0,False
2023-02-17T06:38:00.0,2023-02-17T13:01:00.0,2023-02-17,ENHANCED_CONFIRMED_FINAL,6000.0,11640.0,5340.0,0.0,0.0,False
2023-02-18T06:34:00.0,2023-02-18T15:01:00.0,2023-02-18,ENHANCED_CONFIRMED,2400.0,15840.0,11340.0,840.0,0.0,False
2023-02-19T06:40:00.0,2023-02-19T14:36:00.0,2023-02-19,ENHANCED_CONFIRMED_FINAL,6480.0,16800.0,4620.0,660.0,0.0,False
2023-02-20T05:48:00.0,2023-02-20T13:30:00.0,2023-02-20,ENHANCED_CONFIRMED,4860.0,16140.0,6600.0,120.0,0.0,False
2023-02-21T08:07:00.0,2023-02-21T13:49:00.0,2023-02-21,ENHANCED_CONFIRMED_FINAL,6120.0,10140.0,4260.0,0.0,0.0,False
2023-02-22T06:56:00.0,2023-02-22T14:31:00.0,2023-02-22,ENHANCED_CONFIRMED,1440.0,17580.0,8040.0,240.0,0.0,False
2023-02-23T06:49:00.0,2023-02-23T14:19:00.0,2023-02-23,ENHANCED_CONFIRMED,2700.0,14760.0,8520.0,1020.0,0.0,False
2023-02-24T05:31:00.0,2023-02-24T12:50:00.0,2023-02-24,ENHANCED_CONFIRMED,5880.0,15360.0,4680.0,420.0,0.0,False
2023-02-25T06:31:00.0,2023-02-25T15:02:00.0,2023-02-25,ENHANCED_CONFIRMED,5040.0,17040.0,7980.0,600.0,0.0,False
2023-02-26T07:48:00.0,2023-02-26T14:03:00.0,2023-02-26,ENHANCED_CONFIRMED,4020.0,13020.0,5460.0,0.0,0.0,False
2023-02-27T06:11:00.0,2023-02-27T14:41:00.0,2023-02-27,ENHANCED_CONFIRMED_FINAL,6420.0,13860.0,8100.0,1260.0,960.0,False
2023-02-28T06:52:00.0,2023-02-28T14:34:00.0,2023-02-28,ENHANCED_CONFIRMED_FINAL,6780.0,13200.0,7440.0,300.0,0.0,False
2023-03-01T07:36:00.0,2023-03-01T13:41:00.0,2023-03-01,ENHANCED_CONFIRMED_FINAL,5880.0,10020.0,6000.0,0.0,0.0,False
2023-03-02T05:46:00.0,2023-03-02T13:50:00.0,2023-03-02,ENHANCED_CONFIRMED_FINAL,4020.0,16920.0,7800.0,300.0,0.0,False
2023-03-03T06:28:00.0,2023-03-03T12:49:00.0,2023-03-03,ENHANCED_CONFIRMED_FINAL,4320.0,13140.0,5280.0,120.0,0.0,False
2023-03-04T07:20:00.0,2023-03-04T15:13:00.0,2023-03-04,ENHANCED_CONFIRMED_FINAL,8100.0,15360.0,4620.0,300.0,0.0,False
2023-03-05T08:15:00.0,2023-03-05T13:33:00.0,2023-03-05,ENHANCED_CONFIRMED,5640.0,9660.0,3780.0,0.0,0.0,False
2023-03-06T06:16:00.0,2023-03-06T13:51:00.0,2023-03-06,ENHANCED_CONFIRMED_FINAL,5760.0,13980.0,7440.0,120.0,0.0,False
2023-03-07T07:14:00.0,2023-03-07T13:25:00.0,2023-03-07,ENHANCED_CONFIRMED,3060.0,12780.0,5700.0,720.0,0.0,False
2023-03-08T06:37:00.0,2023-03-08T13:40:00.0,2023-03-08,ENHANCED_CONFIRMED,4860.0,11340.0,9180.0,0.0,0.0,False
2023-03-09T06:38:00.0,2023-03-09T15:06:00.0,2023-03-09,ENHANCED_CONFIRMED_FINAL,8100.0,15720.0,6540.0,120.0,0.0,False
2023-03-10T07:59:00.0,2023-03-10T15:50:00.0,2023-03-10,ENHANCED_CONFIRMED_FINAL,5280.0,15540.0,6000.0,1440.0,0.0,False
2023-03-11T05:35:00.0,2023-03-11T15:32:00.0,2023-03-11,ENHANCED_CONFIRMED,8760.0,17340.0,7980.0,1740.0,0.0,False
2023-03-12T07:43:00.0,2023-03-12T16:24:00.0,2023-03-12,ENHANCED_CONFIRMED,4020.0,21300.0,5460.0,480.0,0.0,False
2023-03-13T06:09:00.0,2023-03-13T12:08:00.0,2023-03-13,ENHANCED_CONFIRMED_FINAL,2160.0,15420.0,3600.0,360.0,0.0,False
2023-03-14T06:04:00.0,2023-03-14T15:39:00.0,2023-03-14,ENHANCED_CONFIRMED,5820.0,18300.0,8940.0,1440.0,0.0,False
2023-03-15T05:39:00.0,2023-03-15T10:42:00.0,2023-03-15,ENHANCED_CONFIRMED,1860.0,11460.0,4800.0,60.0,0.0,False
2023-03-16T03:37:00.0,2023-03-16T13:40:00.0,2023-03-16,ENHANCED_CONFIRMED_FINAL,6480.0,18780.0,10500.0,420.0,0.0,False
2023-03-17T05:01:00.0,2023-03-17T14:08:00.0,2023-03-17,ENHANCED_CONFIRMED_FINAL,2520.0,20100.0,10140.0,60.0,0.0,False
2023-03-18T05:47:00.0,2023-03-18T12:47:00.0,2023-03-18,ENHANCED_CONFIRMED_FINAL,3000.0,13920.0,8160.0,120.0,0.0,False
2023-03-19T06:35:00.0,2023-03-19T13:33:00.0,2023-03-19,ENHANCED_CONFIRMED,4680.0,12420.0,7740.0,240.0,0.0,False
2023-03-20T02:37:00.0,2023-03-20T13:56:00.0,2023-03-20,OFF_WRIST,0.0,0.0,,0.0,0.0,False
2023-03-21T05:36:00.0,2023-03-21T12:56:00.0,2023-03-21,ENHANCED_CONFIRMED_FINAL,7500.0,13500.0,5400.0,0.0,0.0,False
2023-03-22T05:19:00.0,2023-03-22T13:46:00.0,2023-03-22,ENHANCED_CONFIRMED_FINAL,2820.0,18840.0,8160.0,600.0,0.0,False
2023-03-23T03:55:00.0,2023-03-23T14:16:00.0,2023-03-23,OFF_WRIST,0.0,0.0,,0.0,0.0,False
2023-03-24T05:02:00.0,2023-03-24T13:00:00.0,2023-03-24,ENHANCED_CONFIRMED_FINAL,4680.0,16200.0,6960.0,840.0,0.0,False
2023-03-25T05:35:00.0,2023-03-25T13:14:00.0,2023-03-25,ENHANCED_CONFIRMED_FINAL,5100.0,16440.0,5100.0,900.0,0.0,False
2023-03-26T06:35:00.0,2023-03-26T12:48:00.0,2023-03-26,ENHANCED_CONFIRMED_FINAL,4200.0,12420.0,5700.0,60.0,0.0,False
2023-03-27T03:30:00.0,2023-03-27T13:39:00.0,2023-03-27,OFF_WRIST,0.0,0.0,,0.0,0.0,False
2023-03-28T05:18:00.0,2023-03-28T13:17:00.0,2023-03-28,ENHANCED_CONFIRMED_FINAL,2880.0,16560.0,9240.0,60.0,0.0,False
2023-03-29T06:01:00.0,2023-03-29T14:10:00.0,2023-03-29,ENHANCED_CONFIRMED_FINAL,6660.0,13980.0,8580.0,120.0,0.0,False
2023-03-30T05:25:00.0,2023-03-30T12:57:00.0,2023-03-30,ENHANCED_CONFIRMED,3720.0,16680.0,6660.0,60.0,0.0,False
2023-03-31T03:30:00.0,2023-03-31T11:54:00.0,2023-03-31,ENHANCED_CONFIRMED,5400.0,17400.0,6900.0,540.0,0.0,False
2023-04-01T04:00:00.0,2023-04-01T12:00:00.0,2023-04-01,UNCONFIRMED,,,,,,False
2023-04-02T04:00:00.0,2023-04-02T12:00:00.0,2023-04-02,UNCONFIRMED,,,,,,False
2023-04-03T03:32:00.0,2023-04-03T15:31:00.0,2023-04-03,OFF_WRIST,0.0,0.0,,0.0,0.0,False
2023-04-04T02:31:00.0,2023-04-04T12:32:00.0,2023-04-04,OFF_WRIST,0.0,0.0,,0.0,0.0,False
2023-04-05T02:57:00.0,2023-04-05T11:16:00.0,2023-04-05,OFF_WRIST,0.0,0.0,,0.0,0.0,False
2023-04-06T02:57:00.0,2023-04-06T12:16:00.0,2023-04-06,OFF_WRIST,0.0,0.0,,0.0,0.0,False
2023-04-07T04:00:00.0,2023-04-07T12:00:00.0,2023-04-07,UNCONFIRMED,,,,,,False
2023-04-08T04:00:00.0,2023-04-08T12:00:00.0,2023-04-08,UNCONFIRMED,,,,,,False
2023-04-09T05:10:00.0,2023-04-09T14:08:00.0,2023-04-09,ENHANCED_CONFIRMED,6120.0,17820.0,7620.0,720.0,0.0,False
2023-04-10T03:48:00.0,2023-04-10T14:16:00.0,2023-04-10,OFF_WRIST,0.0,0.0,,0.0,0.0,False
2023-04-11T02:31:00.0,2023-04-11T12:00:00.0,2023-04-11,AUTO_CONFIRMED_FINAL,20340.0,12660.0,,1140.0,0.0,False
2023-04-12T02:47:00.0,2023-04-12T14:16:00.0,2023-04-12,OFF_WRIST,0.0,0.0,,0.0,0.0,False
2023-04-13T05:40:00.0,2023-04-13T12:29:00.0,2023-04-13,ENHANCED_CONFIRMED_FINAL,5280.0,13620.0,5580.0,60.0,0.0,False
2023-04-14T04:00:00.0,2023-04-14T12:00:00.0,2023-04-14,UNCONFIRMED,,,,,,False
2023-04-15T04:00:00.0,2023-04-15T12:00:00.0,2023-04-15,UNCONFIRMED,,,,,,False
2023-04-16T05:28:00.0,2023-04-16T13:28:00.0,2023-04-16,ENHANCED_CONFIRMED,5280.0,16380.0,7140.0,0.0,0.0,False
2023-04-17T04:00:00.0,2023-04-17T12:00:00.0,2023-04-17,UNCONFIRMED,,,,,,False
2023-04-18T04:00:00.0,2023-04-18T12:00:00.0,2023-04-18,UNCONFIRMED,,,,,,False
2023-04-19T04:00:00.0,2023-04-19T12:00:00.0,2023-04-19,UNCONFIRMED,,,,,,False
2023-04-20T04:00:00.0,2023-04-20T12:00:00.0,2023-04-20,UNCONFIRMED,,,,,,False
2023-04-21T10:09:00.0,2023-04-21T14:18:00.0,2023-04-21,ENHANCED_CONFIRMED_FINAL,5760.0,6960.0,1680.0,540.0,0.0,False
2023-04-22T04:21:00.0,2023-04-22T11:22:00.0,2023-04-22,ENHANCED_CONFIRMED,3480.0,13260.0,8520.0,0.0,0.0,False
2023-04-23T03:42:00.0,2023-04-23T12:30:00.0,2023-04-23,ENHANCED_CONFIRMED_FINAL,1980.0,17880.0,11640.0,180.0,0.0,False
2023-04-24T02:41:00.0,2023-04-24T12:31:00.0,2023-04-24,ENHANCED_CONFIRMED,5340.0,19380.0,9060.0,1620.0,0.0,False
2023-04-25T04:41:00.0,2023-04-25T13:36:00.0,2023-04-25,ENHANCED_CONFIRMED_FINAL,3780.0,18300.0,9900.0,120.0,0.0,False
2023-04-26T08:26:00.0,2023-04-26T13:48:00.0,2023-04-26,ENHANCED_CONFIRMED,4680.0,10320.0,4260.0,60.0,0.0,False
2023-04-27T02:52:00.0,2023-04-27T09:31:00.0,2023-04-27,OFF_WRIST,0.0,0.0,,0.0,0.0,False
2023-04-28T02:42:00.0,2023-04-28T14:06:00.0,2023-04-28,OFF_WRIST,0.0,0.0,,0.0,0.0,False
